morp,morp_desen,behaviour,o3site,icd10,comments
9392/3/1,"Ependymoma, anaplastic (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9393/1/1,"Papillary ependymoma, borderline (C71_)",Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",Not listed in ICD-O-3.2
9393/3/1,Papillary ependymoma (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9394/1/1,Myxopapillary ependymoma (C71_),Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",
9394/3/1,"Myxopapillary ependymoma, malignant (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9395/3/1,Papillary tumor of the pineal region,Malignant,Specific Sites,See Topo Table B Col B,
9396/3/1,"Ependymoma, RELA fusion-positive (C71_) (ICD-O-3.2 update)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9400/1/1,"Astrocytoma, borderline (C71_)",Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",Not listed in ICD-O-3.2
9400/3/1,"Astrocytoma, NOS (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9401/3/1,"Astrocytoma, anaplastic (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9410/3/1,Protoplasmic astrocytoma (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9411/3/1,Gemistocytic astrocytoma (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9412/1/1,Desmoplastic infantile astrocytoma (C71_),Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",
9412/3/1,"Desmoplastic infantile astrocytoma, malignant (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9413/1/1,"Dysembryoplastic neuroepithelial tumor, borderline",Borderline,Specific Sites,See Topo Table B Col F,Not listed in ICD-O-3.2
9413/3/1,"Dysembryoplastic neuroepithelial tumor, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
9420/3/1,Fibrillary astrocytoma (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9421/1/1,Pilocytic astrocytoma  (C71_) (2023+),Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",
9421/3/1,"Pilocytic astrocytoma, malignant  (C71_) (2001-2022)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9421/3/1,High-grade astrocytoma with piloid features (HGAP) (C71_) (2023 update),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9423/3/1,Polar spongioblastoma  (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9424/3/1,Pleomorphic xanthoastrocytoma  (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9425/3/1,Pilomyxoid astrocytoma (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9430/3/1,Astroblastoma  (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9431/1/1,Angiocentric glioma (C71_),Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",
9432/1/1,Pituicytoma (C751),Borderline,"C751, All Other Sites","D44.3, See Topo Table B Col F",
9440/1/1,"Glioblastoma, NOS, borderline (C71_)",Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",Not listed in ICD-O-3.2
9440/3/1,"Glioblastoma, NOS  (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9441/3/1,Giant cell glioblastoma  (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9442/1/1,Gliofibroma  (C71_),Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",
9442/3/1,Gliosarcoma  (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9444/1/1,Chordoid glioma  (C71_),Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",
9444/3/1,"Choriod glioma of third venricle, malignant (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9445/3/1,"Glioblastoma, IDH-mutant (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9450/1/1,"Oligodendroglioma, borderline (C71_)",Borderline,"C719, All Other Sites","D43.2, See Topo Table B Col F",Not listed in ICD-O-3.2
9450/3/1,"Oligodendroglioma, NOS  (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9451/3/1,"Oligodendroglioma, anaplastic  (C71_)",Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9460/3/1,Oligodendroblastoma  (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9470/3/1,"Medulloblastoma, NOS (C716)",Malignant,"C716, All Other Sites","C71.6, See Topo Table B Col B",
9471/3/1,Desmoplastic nodular medulloblastoma (C716),Malignant,"C716, All Other Sites","C71.6, See Topo Table B Col B",
9472/3/1,Medullomyoblastoma (C716),Malignant,"C716, All Other Sites","C71.6, See Topo Table B Col B",
9473/3/1,"CNS embryonal tumor, NOS (C716)",Malignant,"C716, All Other Sites","C71.6, See Topo Table B Col B",
9474/3/1,Large cell medulloblastoma (C716),Malignant,"C716, All Other Sites","C71.6, See Topo Table B Col B",
9475/3/1,"Medulloblastoma, WNT-activated, NOS (C716) (ICD-O-3.2 update)",Malignant,"C716, All Other Sites","C71.6, See Topo Table B Col B",New code 2021+
9476/3/1,"Medulloblastoma, SHH-activated and TP53-mutant (C716) (ICD-O-3.2 update)",Malignant,"C716, All Other Sites","C71.6, See Topo Table B Col B",New code 2021+
9477/3/1,"Medulloblastoma, non-WNT/non-SHH (C716) (ICD-O-3.2 update)",Malignant,"C716, All Other Sites","C71.6, See Topo Table B Col B",New code 2021+
9478/3/1,Embryonal tumor with multilayered rosettes with C19MC alteration (C71_) (ICD-O-3.2 update),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",New code 2021+
9480/3/1,"Cerebellar sarcoma, NOS (C716)",Malignant,"C716, All Other Sites","C71.6, See Topo Table B Col B",
9490/1/1,"Ganglioneuroma, borderline (C49_)",Borderline,"C499, All Other Sites","D48.1, See Topo Table B Col F",Not listed in ICD-O-3.2
9490/3/1,Ganglioneuroblastoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
9500/2/1,"Neuroblastoma, NOS, in situ",In-Situ,Specific sites,See Topo Table B Col D,Not listed in ICD-O-3.2
9500/3/1,"Neuroblastoma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
9501/3/1,"Medulloepithelioma, NOS (C694)",Malignant,"C694, All Other Sites","C69.4, See Topo Table B Col B",
9502/3/1,"Teratoid medulloepithelioma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
9503/3/1,"Neuroepithelioma, NOS",Malignant,Specific Sites,See Topo Table B Col B,
9504/3/1,Spongioneuroblastoma,Malignant,Specific Sites,See Topo Table B Col B,
9505/1/1,"Ganglioglioma, NOS",Borderline,Specific Sites,See Topo Table B Col F,
9505/3/1,"Ganglioglioma, anaplastic",Malignant,Specific Sites,See Topo Table B Col B,
9506/1/1,Central neurocytoma,Borderline,Specific Sites,See Topo Table B Col F,
9506/3/1,"Neurocytoma, malignant",Malignant,Specific Sites,See Topo Table B Col B,Not listed in ICD-O-3.2
9508/3/1,Atypical teratoid/rhabdoid tumor (C71_),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",
9509/1/1,Papillary glioneuronal tumor,Borderline,Specific Sites,See Topo Table B Col F,
9509/3/1,Diffuse leptomeningeal glioneuronal tumor (C71_) (2023 update),Malignant,"C719, All Other Sites","C71.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9510/3/1,"Retinoblastoma, NOS (C692)",Malignant,"C692, All Other Sites","C69.2, See Topo Table B Col B",
9511/3/1,"Retinoblastoma, differentiated (C692)",Malignant,"C692, All Other Sites","C69.2, See Topo Table B Col B",
9512/3/1,"Retinoblastoma, undifferentiated (C692)",Malignant,"C692, All Other Sites","C69.2, See Topo Table B Col B",
9513/3/1,"Retinoblastoma, diffuse (C692)",Malignant,"C692, All Other Sites","C69.2, See Topo Table B Col B",
9514/1/1,"Retinoblastoma, spontaneously regressed (C692)",Borderline,"C692, All Other Sites","D48.7, See Topo Table B Col F",
9520/3/1,Olfactory neurogenic tumor (C300),Malignant,"C300, All Other Sites","C30.0, See Topo Table B Col B",
9521/3/1,Olfactory neurocytoma  (C300),Malignant,"C300, All Other Sites","C30.0, See Topo Table B Col B",
9522/3/1,Olfactory neuroblastoma  (C300),Malignant,"C300, All Other Sites","C30.0, See Topo Table B Col B",
9523/3/1,Olfactory neuroepithelioma  (C300),Malignant,"C300, All Other Sites","C30.0, See Topo Table B Col B",
9530/1/1,"Meningiomatosis, NOS (ICD-O-3.2 update) (C70_)",Borderline,"C709, All Other Sites","D42.9, See Topo Table B Col F",Not listed in ICD-O-3.2
9530/3/1,"Meningioma, malignant  (C70_)",Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",
9531/1/1,"Meningiothelial meningioma, borderline (C70_)",Borderline,"C709, All Other Sites","D42.9, See Topo Table B Col F",Not listed in ICD-O-3.2
9531/3/1,"Meningiothelial meningioma, malignant (C70_)",Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9532/3/1,"Fibrous meningioma, malignant (C70_)",Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9533/3/1,"Psammomatous meningioma, malignant (C70_)",Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9534/3/1,"Angiomatous meningioma, malignant (C70_)",Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9535/3/1,"Hemangioblastic meningioma, malignant (C70_)",Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9537/1/1,"Mixed mengioma, borderline (C70_)",Borderline,"C709, All Other Sites","D42.9, See Topo Table B Col F",Not listed in ICD-O-3.2
9537/3/1,"Transitional meningioma, malignant (C70_)",Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",Not listed in ICD-O-3.2
9538/1/1,Clear cell meningioma (C70_),Borderline,"C709, All Other Sites","D42.9, See Topo Table B Col F",
9538/3/1,Papillary meningioma (C70_),Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",
9539/1/1,Atypical meningioma (C70_),Borderline,"C709, All Other Sites","D42.9, See Topo Table B Col F",
9539/3/1,Meningeal sarcomatosis (C70_),Malignant,"C709, All Other Sites","C70.9, See Topo Table B Col B",
9540/1/1,"Neurofibromatosis, NOS (ICD-O-3.2 update, code deleted)",Borderline,All Sites,Q85.0,
9540/3/1,"Malignant peripheral nerve sheath tumor, NOS",Malignant,Specific Sites,See Topo Table B Col B,
9542/3/1,"Malignant peripheral nerve sheath tumor, epithelioid (ICD-O-3.2 update)",Malignant,Specific Sites,See Topo Table B Col B,New code 2021+
9560/1/1,"Melanotic schwannoma (ICD-O-3.2, now includes 9560/0)",Borderline,Specific Sites,See Topo Table B Col F,
9560/3/1,"Neurilemoma, malignant",Malignant,Specific Sites,See Topo Table B Col B,
9561/3/1,Malignant peripheral nerve sheath tumor with rhabdomyoblastic differentiation,Malignant,Specific Sites,See Topo Table B Col B,
9562/3/1,"Neurothekeoma, malignant",Malignant,Specific Sites,See Topo Table B Col B,
9571/3/1,"Perineurioma, malignant",Malignant,Specific Sites,See Topo Table B Col B,
9580/3/1,"Granular cell tumor, malignant (C49_)",Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
9581/3/1,Alveolar soft part sarcoma (C49_),Malignant,"C499, All Other Sites","C49.9, See Topo Table B Col B",
9590/3/1,"Malignant lymphoma, NOS",Malignant,All Sites,C85.9,
9591/1/1,"Monoclonal B-cell lymphocytosis, NOS (ICD-O-3.2 update)",Malignant,All Sites,D72.8,New code 2021+
9591/3/1,"Malignant lymphoma, non-Hodgkin, NOS",Malignant,All Sites,C85.1,
9596/3/1,"B-cell lymphoma, unclassifiable, with features intermediate between diffuse large B-cell lymphoma  and classical Hodgkin lymphoma (C77_) (2010 ICD-O-3 update)",Malignant,All Sites,C83.3,
9597/3/1,Primary cutaneous follicle centre lymphoma (2010 ICD-O-3 update),Malignant,All Sites,C82.7,
9650/3/1,Classical Hodgkin lymphoma (ICD-O-3 update) (C77_),Malignant,All Sites,C81.9,
9651/3/1,Lymphocyte-rich classical Hodgkin lymphoma (C77_),Malignant,All Sites,C81.7,
9652/3/1,Mixed cellularity classical Hodgkin lymphoma (C77_),Malignant,All Sites,C81.2,
9653/3/1,Lymphocyte-depleted classical Hodgkin lymphoma (C77_) (2010 ICD-O-3 update),Malignant,All Sites,C81.3,
9654/3/1,"Hodgkin lymphoma, lymphocytic depletion, diffuse fibrosis [OBS] (C77_), (2010 ICD-O-3 update, see 9651/3)",Malignant,All Sites,C81.3,
9655/3/1,"Hodgkin lymphoma, lymphocyte depletion, reticular (C77_)",Malignant,All Sites,C81.3,
9659/3/1,Nodular lymphocyte predominant Hodgkin lymphoma (C77_),Malignant,All Sites,C81.0,
9661/3/1,"Hodgkin granuloma [OBS], (C77_), (2010 ICD-O-3 update, see 9650/3)",Malignant,All Sites,C81.7,
9662/3/1,"Hodgkin sarcoma [OBS] (C77_), (2010 ICD-O-3 update, see 9650/3)",Malignant,All Sites,C81.7,
9663/3/1,Nodular sclerosis classical Hodgkin lymphoma (C77_),Malignant,All Sites,C81.1,
9664/3/1,"Hodgkin lymphoma, nodular sclerosis, cellular phase [OBS],  (C77_), (2010 ICD-O-3 update, see 9663/3)",Malignant,All Sites,C81.1,
9665/3/1,"Hodgkin lymphoma, nodular sclerosis, grade 1 [OBS],  (C77_), (2010 ICD-O-3 update, see 9663/3)",Malignant,All Sites,C81.1,
9667/3/1,"Hodgkin lymphoma, nodular sclerosis, grade 2 [OBS] (C77_), (2010 ICD-O-3 update, see 9663/3)",Malignant,All Sites,C81.1,
9670/3/1,"Malignant lymphoma, small B lymphocytes, NOS [OBS], see 9823/3 (2010 ICD-O-3 update)",Malignant,All Sites,C83.0,
9671/3/1,Lymphoplasmacytic lymphoma,Malignant,All Sites,C88.0,
9673/1/1,In situ mantle cell neoplasia (ICD-O-3.2 update),Borderline,All Sites,D47.7,New code 2021+
9673/3/1,Mantle cell lymphoma,Malignant,All Sites,C83.1,
9675/3/1,"Malignant lymphoma, mixed small and large cell, diffuse [OBS], (2010 ICD-O-3 update, see 9690/3)",Malignant,All Sites,C83.2,
9678/3/1,Primary effusion lymphoma,Malignant,All Sites,C83.8,
9679/3/1,"Primary mediastinal (thymic) large B-cell lymphoma (C379, C38.3)",Malignant,All Sites,C83.8,
9680/1/1,EBV positive mucocutaneous ulcer (ICD-O-3.2 update),Borderline,All Sites,D47.7,New code 2021+
9680/3/1,Diffuse large B-cell lymphoma (DLBCL),Malignant,All Sites,C83.3,
9684/3/1,"Malignant lymphoma, large B-cell, diffuse, immunoblastic, NOS [OBS], (2010 ICD-O-3 update, see 9680/3)",Malignant,All Sites,C83.4,
9687/3/1,Burkitt lymphoma,Malignant,All Sites,C83.7,
9688/3/1,T-cell histiocyte-rich large B-cell lymphoma (C77_),Malignant,All Sites,C83.3,
9689/3/1,Splenic marginal zone lymphoma (C422),Malignant,All Sites,C83.0,
9690/3/1,Follicular lymphoma,Malignant,All Sites,C82.9,
9691/3/1,"Follicular lymphoma, grade 2",Malignant,All Sites,C82.1,
9695/1/1,In situ follicular neoplasia (ICD-O-3.2 update),Borderline,All Sites,D47.7,New code 2021+
9695/3/1,"Follicular lymphoma, grade 1",Malignant,All Sites,C82.0,
9698/3/1,"Follicular lymphoma, grade 3",Malignant,All Sites,C82.2,
9699/3/1,Extranodal marginal zone lymphoma of mucosal-associated lymphoid tissue (MALT lymphoma),Malignant,All Sites,C83.0,
9700/3/1,Mycosis fungoides (C44_),Malignant,All Sites,C84.0,
9701/3/1,Sezary syndrome (C44_),Malignant,All Sites,C84.1,
9702/1/1,Indolent T-cell lymphoproliferative disorder of the gastrointestina tract (ICD-O-3.2 update),Borderline,All Sites,D47.7,New code 2021+
9702/3/1,"Peripheral T-cell lymphoma, NOS",Malignant,All Sites,C84.4,
9705/3/1,Angioimmunoblastic T-cell lymphoma,Malignant,All Sites,C84.5,
9708/3/1,Subcutaneous panniculitis-like T-cell lymphoma (C49_),Malignant,All Sites,C84.5,
9709/1/1,Primary cutaneous CD4-positive small/medium T-cell lymphoproliferative disorder (ICD-O-3.2 update),Borderline,All Sites,D47.7,New code 2021+
9709/3/1,"Primary cutaneous T-cell lymphoma (C44_) (ICD-O-3.2 update, alternate name removed, see 9709/1)",Malignant,All Sites,C84.5,
9712/3/1,Intravascular large B-cell lymphoma (2010 ICD-O-3 update),Malignant,All Sites,C83.8,
9714/3/1,"Anaplastic large cell lymphoma, ALK-positive",Malignant,All Sites,C84.5,
9715/3/1,"Anaplastic large cell lymphoma, ALK-negative (ICD-O-3.2 update)",Malignant,All Sites,C84.5,New code 2021+
9716/3/1,Hepatosplenic T-cell lymphoma (C422),Malignant,All Sites,C84.5,
9717/3/1,Enteropathy-associated T-cell lymphoma,Malignant,All Sites,C84.5,
9718/1/1,Primary cutaneous CD30+ T-cell lymphoproliferative disorder  (C44_) (ICD-O-3.2 update),Borderline,All Sites,D47.7,New code 2021+
9718/3/1,"Primary cutaneous CD30-positive T-cell lymphoproliferative disorders (C44_) (ICD-O-3.2 update, alternate name removed, see 9718/1)",Malignant,All Sites,C84.4,
9719/3/1,"Extranodal NK--/T-cell lymphoma, nasal type",Malignant,All Sites,C84.5,
9724/3/1,Systemic EBV-positive T-cell lymphoproliferative disease of childhood (2010 ICD-O-3 update),Malignant,All Sites,C84.5,
9725/1/1,Hydroa vacciniforme-like lymphoma (C44_) (ICD-O-3.2 update),Borderline,All Sites,D47.7,New code 2021+
9725/3/1,"Hydroa vacciniforme-like lymphoma (C44_) (ICD-O-3.2 update, see 9725/1)",Malignant,All Sites,C84.5,
9726/3/1,"Primary cutaneous gamma delta T-cell lymphoma  (C44_, C49_) (2010 ICD-O-3 update)",Malignant,All Sites,C84.4,
9727/3/1,Blastic plasmacytoid dendritic cell neoplasm,Malignant,All Sites,C85.7,
9728/3/1,"Precursor B-lymphoblastic lymphoma [OBS], (2010 ICD-O-3 update, see 9811/3)",Malignant,All Sites,C83.5,
9729/3/1,"Precursor T--cell lymphoblastic lymphoma, NOS [OBS], (2010 ICD-O-3 update, see 9837/3)",Malignant,All Sites,C83.5,
9731/3/1,"Solitary plasmacytoma of bone (C40_, C41_)",Malignant,All Sites,C90.2,
9732/3/1,Plasma cell myeloma (C421),Malignant,All Sites,C90.0,
9733/3/1,"Plasma cell leukemia [OBS], (C421) (2010 ICD-O-3 update, see 9732/3)",Malignant,All Sites,C90.1,
9734/3/1,Extraosseous plasmacytoma,Malignant,All Sites,C90.2,
9735/3/1,Plasmablastic lymphoma (2010 ICD-O-3 update),Malignant,All Sites,C83.3,
9737/3/1,ALK-positive large B-cell lymphoma,Malignant,All Sites,C83.3,
9738/1/1,HHV8-positive germinotrophic-lymphoproliferative disorder (ICD-O-3.2 update),Borderline,All Sites,D47.7,New code 2021+
9738/3/1,Large B-cell lymphoma arising in HHV8-associated multicentric Castleman disease (2010 ICD-O-3 update),Malignant,All Sites,C83.3,
9740/1/1,Solitary mastocytoma of skin,Borderline,All Sites,D47.0,
9740/3/1,Mast cell sarcoma,Malignant,All Sites,C96.2,
9741/1/1,Indolent systemic mastocytosis,Borderline,All Sites,D47.0,New code 2021+
9741/3/1,Systemic mastocytosis (C421),Malignant,All Sites,C96.2,
9742/3/1,Mast cell leukemia (C421),Malignant,All Sites,C94.3,
9749/1/1,Juvenile xanthogranuloma (C715) (2023 update),Borderline,All Sites,D76.3,New code 2023+
9749/3/1,Erdheim-Chester disease (ICD-O-3.2 update),Malignant,All Sites,C96.2,New code 2021+
9750/3/1,"Malignant histiocytosis [OBS], (2010 ICD-O-3 update, see 9751/3)",Malignant,All Sites,C96.1,
9751/1/1,"Langerhans cell histiocytosis, NOS (ICD-O-3.2 update)",Borderline,All Sites,D76.0,New code 2021+
9751/3/1,"Langerhans cell histiocytosis (ICD-O-3.2 update, alternate names moved to 9751/1)",Malignant,All Sites,C96.0,
9752/1/1,"Langerhans cell histiocytosis, unifocal [OBS], (2010 ICD-O-3 update, see 9751/3)",Borderline,All Sites,D76.0,
9753/1/1,"Langerhans cell histiocytosis, multifocal [OBS], (2010 ICD-O-3 update, see 9751/3)",Borderline,All Sites,D76.0,
9754/3/1,"Langerhans cell histiocytosis, disseminated [OBS], (2010 ICD-O-3 update, see 9751/3)",Malignant,All Sites,C96.0,
9755/3/1,Histiocytic sarcoma,Malignant,All Sites,C96.3,
9756/3/1,Langerhans cell sarcoma,Malignant,All Sites,C96.7,
9757/3/1,Interdigitating dendritic cell sarcoma,Malignant,All Sites,C96.7,
9758/3/1,Follicular dendritic cell sarcoma,Malignant,All Sites,C96.7,
9759/3/1,Fibroblastic reticular cell tumor (2010 ICD-O-3 update),Malignant,All Sites,C96.7,
9760/3/1,"Immunoproliferative disease, NOS [OBS] (2010 ICD-O-3 update, see 9762/3)",Malignant,All Sites,C88.9,
9761/1/1,IgM monoclonal gammopathy of undetermined significance (ICD-O-3.2 update),Borderline,All Sites,D47.2,New code 2021+
9761/3/1,Waldenstrom macroglobulinemia (C421),Malignant,All Sites,C88.0,
9762/3/1,Heavy chain disease,Malignant,All Sites,C88.1,
9764/3/1,"Immunoproliferative small intestinal disease [OBS], (2010 ICD-O-3 update, see 9762/3)",Malignant,All Sites,C88.3,
9765/1/1,Monoclonal gammopathy of undetermined significance,Borderline,All Sites,D47.2,
9766/1/1,Angiocentric immunoproliferative lesion,Borderline,All Sites,D47.9,
9766/3/1,"Lymphomatoid granulomatosis, grade 3 (ICD-O-3.2 update)",Malignant,All Sites,C83.8,New code 2021+
9767/1/1,Angioimmunoblastic lymphadenopathy,Borderline,All Sites,D47.7,
9768/1/1,T gamma-lymphoproliferative disease,Borderline,All Sites,D47.7,
9769/1/1,Immunoglobulin deposition disease,Borderline,All Sites,D47.7,
9769/3/1,"Immunoglobulin deposition disease, malignant",Malignant,All Sites,C88.8,Not listed in ICD-O-3.2
9800/3/1,"Leukemia, NOS (C421)",Malignant,All Sites,C95.9,
9801/3/1,Acute undifferentiated leukemia (C421),Malignant,All Sites,C95.0,
9805/3/1,"Acute biphenotypic leukemia [OBS] (C421), (2010 ICD-O-3 update, see codes 9806/3-9809/3)",Malignant,All Sites,C95.0,
9806/3/1,Mixed phenotype acute leukemia with t(9;22)(q34;q11.2);BCR-ABL1  (C421) (2010 ICD-O-3 update),Malignant,All Sites,C95.0,
9807/3/1,Mixed phenotype acute leukemia with t(v;11q23); MLL rearranged (C421) (2010 ICD-O-3 update),Malignant,All Sites,C95.0,
9808/3/1,"Mixed phenotype acute leukemia, B/myeloid, NOS (C421) (2010 ICD-O-3 update)",Malignant,All Sites,C95.0,
9809/3/1,"Mixed phenotype acute leukemia, T/myeloid, NOS (C421) (2010 ICD-O-3 update)",Malignant,All Sites,C95.0,
9811/3/1,"B lymphoblastic leukemia/lymphoma, NOS (2010 ICD-O-3 update)",Malignant,All Sites,C91.0,
9812/3/1,B Lymphoblastic leukemia/lymphoma with t(9;22)(q34;q11.2); BCR-ABL1 (2010 ICD-O-3 update),Malignant,All Sites,C91.0,
9813/3/1,B Lymphoblastic leukemia/lymphoma with t(v;11q23); MLL rearranged (2010 ICD-O-3 update),Malignant,All Sites,C91.0,
9814/3/1,B Lymphoblastic leukemia/lymphoma with t(12;21)(p13;q22); TEL-AML1 (ETV6-RUNX1) (2010 ICD-O-3 update),Malignant,All Sites,C91.0,
9815/3/1,B Lymphoblastic leukemia/lymphoma with hyperdiploidy (2010 ICD-O-3 update),Malignant,All Sites,C91.0,
9816/3/1,B Lymphoblastic leukemia/lymphoma with hypodiploidy (Hypodiploid ALL) (2010 ICD-O-3 update),Malignant,All Sites,C91.0,
9817/3/1,B Lymphoblastic leukemia/lymphoma with t(5;14)(q31;q32); IL3-IGH (2010 ICD-O-3 update),Malignant,All Sites,C91.0,
9818/3/1,B Lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3);E2A-PBX1 (TCF3-PBX1) (2010 ICD-O-3 update),Malignant,All Sites,C91.0,
9819/3/1,"B Lymphoblastic leukemia/lymphoma, BCR-ABL1-like (ICD-O-3.2 update)",Malignant,All Sites,C91.0,New code 2021+
9820/3/1,"Lymphoid leukemia, NOS (C421)",Malignant,All Sites,C91.9,
9823/1/1,"Monoclonal B-cell lymphocytosis, CLL type (ICD-O-3.2 update)",Borderline,All Sites,D72.8,New code 2021+
9823/3/1,Chronic lymphocytic leukemia/small lymphocytic lymphoma,Malignant,All Sites,C91.1,
9826/3/1,"Burkitt cell leukemia [OBS] (2021 ICD-O-3 update, see 9687/3) (C421) (",Malignant,All Sites,C91.7,
9827/3/1,Adult T-cell leukemia/lymphoma,Malignant,All Sites,C91.5,
9831/3/1,T-cell large granular lymphocytic leukemia (C421),Malignant,All Sites,C91.7,
9832/3/1,"Prolymphocytic leukemia, NOS (C421)",Malignant,All Sites,C91.3,
9833/3/1,B-cell prolymphocytic leukemia (C421),Malignant,All Sites,C91.3,
9834/3/1,T-cell prolymphocytic leukemia (C421),Malignant,All Sites,C91.3,
9835/3/1,"Precursor cell lymphoblastic leukemia, NOS [OBS} (C421) (2010 ICD-O-3 update, see 9811/3)",Malignant,All Sites,C91.0,
9836/3/1,"Precursor B-cell lymphoblastic leukemia [OBS} (C421) (2010 ICD-O-3 update, see code 9811/3)",Malignant,All Sites,C91.0,
9837/3/1,T lymphoblastic leukemia/lymphoma,Malignant,All Sites,C91.0,
9840/3/1,Acute erythroid leukemia (C421),Malignant,All Sites,C94.0,
9860/3/1,"Myeloid leukemia, NOS (C421)",Malignant,All Sites,C92.9,
9861/3/1,"Acute myeloid leukemia, NOS (C421)",Malignant,All Sites,C92.0,
9863/3/1,"Chronic myeloid leukemia, NOS (C421)",Malignant,All Sites,C92.1,
9865/3/1,Acute myeloid leukemia with t(6;9)(p23;q34);DEK-NUP214 (C421) (2010 ICD-O-3 update),Malignant,All Sites,C92.0,
9866/3/1,Acute promyelocytic leukemia (AML with t(15;17)(q22;q12)) PML/RARA (C421),Malignant,All Sites,C92.4,
9867/3/1,Acute myelomonocytic leukemia (C421),Malignant,All Sites,C92.5,
9869/3/1,Acute myeloid leukemia with inv(3)(q21;q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1 (C421) (2010 ICD-O-3 update),Malignant,All Sites,C92.0,
9870/3/1,Acute basophilic leukemia (C421),Malignant,All Sites,C92.0,
9871/3/1,"Acute myeloid leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22), CBFB-MYH11 (C421) (2010 ICD-O-3 update)",Malignant,All Sites,C92.0,
9872/3/1,Acute myeloid leukemia with minimal differentiation (C421),Malignant,All Sites,C92.0,
9873/3/1,Acute myeloid leukemia without maturation (C421),Malignant,All Sites,C92.0,
9874/3/1,Acute myeloblastic leukemia with maturation (C421),Malignant,All Sites,C92.0,
9875/3/1,"Chronic myelogenous leukemia, BCR/ABL1 positive (C421)",Malignant,All Sites,C92.1,
9876/3/1,"Atypical chronic myeloid leukemia, BCR-ABL1 negative (C421)",Malignant,All Sites,C92.1,
9877/3/1,Acute myeloid leukemia with mutated NPM1  (C421) (ICD-O-3.2 update),Malignant,All Sites,C92.0,New code 2021+
